frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mix,mortality
49,31,T1,,Medium Shade,867B,16,11,3.3711283641322805,NA,D,NA,10
49,0,T0,NA,Medium Shade,867B,16,11,3.360927584014767,NA,D,NA,0
50,31,T1,90% dead,High Shade,867B,13,3,3.8240835427148303,NA,D,NA,90
50,0,T0,NA,High Shade,867B,13,3,3.8522941758023177,0.8800975727310837,D,DC,0
50,60,T2,NA,High Shade,867B,13,3,3.8724612424009415,NA,D,NA,90
51,0,T0,NA,Medium Shade,912,14,8,5.308316837754611,1,D,D,0
51,31,T1,,Medium Shade,912,14,8,5.306445251431484,NA,D,NA,0
52,0,T0,NA,High Shade,912,17,16,5.492360445422346,NA,D,NA,0
52,31,T1,,High Shade,912,17,16,5.452002867088162,NA,D,NA,NA
52,60,T2,NA,High Shade,912,17,16,5.4254115063074915,NA,D,NA,100
53,60,T2,NA,Natural,912,16,9,3.591385083477201,0.9798482074090108,D,DC,0
53,0,T0,NA,Natural,912,16,9,3.2133149779145653,NA,D,NA,0
53,31,T1,,Natural,912,16,9,3.3225695087415787,NA,D,NA,0
54,31,T1,,Medium Shade,916,16,11,2.990954007933842,NA,D,NA,0
54,60,T2,NA,Medium Shade,916,16,11,2.990817245138609,0.9804624122951427,D,DC,0
54,0,T0,NA,Medium Shade,916,16,11,2.9807799579162673,NA,D,NA,0
55,31,T1,,Low Shade,916,17,14,2.2669200623156995,NA,D,NA,0
55,0,T0,NA,Low Shade,916,17,14,2.2608614833255944,NA,D,NA,0
55,60,T2,NA,Low Shade,916,17,14,2.2930889389866707,0.9775576598151774,D,DC,0
56,31,T1,,Natural,916,14,5,8.224543319036753,NA,D,NA,0
56,60,T2,NA,Natural,916,14,5,8.323265960440612,NA,D,NA,0
56,0,T0,NA,Natural,916,14,5,7.965619449694567,NA,D,NA,0
57,31,T1,,Low Shade,909,17,14,1.6582334417261921,NA,D,NA,20
57,60,T2,NA,Low Shade,909,17,14,1.6682520523661886,NA,D,NA,20
57,0,T0,NA,Low Shade,909,17,14,1.658220383998637,NA,D,NA,20
58,60,T2,NA,Medium Shade,909,16,11,2.185975566999864,NA,D,NA,0
58,31,T1,,Medium Shade,909,16,11,2.1779892813530948,NA,D,NA,0
58,0,T0,NA,Medium Shade,909,16,11,2.1799445286090746,NA,D,NA,0
59,60,T2,NA,High Shade,909,13,3,5.376955861023571,NA,D,NA,100
59,31,T1,,High Shade,909,13,3,3.3994081021326488,NA,D,NA,10
59,0,T0,NA,High Shade,909,13,3,3.399334184870813,NA,D,NA,0
64,0,T0,NA,Low Shade,912,13,2,2.9868204936708747,0.9858599567309656,D,DC,0
64,60,T2,NA,Low Shade,912,13,2,3.0899239984512974,NA,D,NA,10
