frag.id,time,propC,propD,Dom,Mix
28,Time2,0.020258984976958994,0.979741015023041,D,DC
31,Time2,0.00713037061508417,0.9928696293849159,D,DC
33,Time2,0.021985071552313704,0.9780149284476863,D,DC
37,Time2,0.013595507691714791,0.9864044923082852,D,DC
44,Time2,0.6208272367823876,0.3791727632176124,C,CD
55,Time2,0.022442340184822662,0.9775576598151774,D,DC
68,Time2,0.03875931254222,0.96124068745778,D,DC
70,Time2,1,0,C,C
73,Time2,1,0,C,C
82,Time2,0.02115668568917875,0.9788433143108213,D,DC
85,Time2,0.03357164083564438,0.9664283591643557,D,DC
89,Time2,1,0,C,C
9,Time2,0.04827624315254042,0.9517237568474596,D,DC
11,Time2,0.0231636033394374,0.9768363966605627,D,DC
117,Time2,1,0,C,C
124,Time2,1,0,C,C
134,Time2,0.1440879911581764,0.8559120088418236,D,DC
142,Time2,1,0,C,C
150,Time2,1,0,C,C
155,Time2,1,0,C,C
157,Time2,1,0,C,C
159,Time2,1,0,C,C
16,Time2,1,0,C,C
17,Time2,1,0,C,C
186,Time2,1,0,C,C
200,Time2,1,0,C,C
212,Time2,1,0,C,C
218,Time2,1,0,C,C
223,Time2,1,0,C,C
230,Time2,1,0,C,C
233,Time2,1,0,C,C
234,Time2,1,0,C,C
236,Time2,1,0,C,C
24,Time2,0.5324906088779849,0.46750939112201506,C,CD
242,Time2,1,0,C,C
243,Time2,1,0,C,C
244,Time2,1,0,C,C
245,Time2,1,0,C,C
249,Time2,1,0,C,C
258,Time2,1,0,C,C
259,Time2,1,0,C,C
263,Time2,1,0,C,C
271,Time2,1,0,C,C
280,Time2,1,0,C,C
35,Time2,0.029447432087495045,0.970552567912505,D,DC
36,Time2,0.02339509774213525,0.9766049022578648,D,DC
41,Time2,0.7185461962296446,0.28145380377035545,C,CD
43,Time2,0.8188912282582236,0.18110877174177642,C,CD
46,Time2,0.980510684851479,0.019489315148521036,C,CD
53,Time2,0.020151792590989162,0.9798482074090108,D,DC
54,Time2,0.01953758770485717,0.9804624122951429,D,DC
6,Time2,0.02909895146897766,0.9709010485310223,D,DC
74,Time2,0.9585280366214103,0.041471963378589716,C,CD
75,Time2,0.022474136568847055,0.977525863431153,D,DC
83,Time2,0,1,D,D
