Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
H6,156,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
H7,156,C,UNKNOWN,VIC,NFQ-MGB,26.16601753,26.2514267,0.120785452,,,,FALSE,0.01,FALSE,6,20,,N,Y
H7,156,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
H8,100,C,UNKNOWN,VIC,NFQ-MGB,30.54199409,30.73177719,0.268393815,,,,FALSE,0.01,FALSE,6,20,,N,Y
H8,100,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
H9,100,C,UNKNOWN,VIC,NFQ-MGB,30.92156029,30.73177719,0.268393815,,,,FALSE,0.01,FALSE,6,20,,N,N
H9,100,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
H10,POS,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
H10,POS,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
H11,NTC,C,UNKNOWN,VIC,NFQ-MGB,30.54389763,30.54389763,,,,,FALSE,0.01,FALSE,6,20,,N,N
H11,NTC,D,UNKNOWN,FAM,NFQ-MGB,27.77622986,27.77622986,,,,,FALSE,0.01,FALSE,6,20,,N,N
H12,,,,,,,,,,,,,,,,,,N,N
