Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\mariah\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
D1,288,C,UNKNOWN,VIC,NFQ-MGB,25.97385979,25.80187988,0.243214965,,,,FALSE,0.01,FALSE,6,20,,N,N
D1,288,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.70094681,,,,,FALSE,0.01,FALSE,6,20,,N,N
D2,288,C,UNKNOWN,VIC,NFQ-MGB,25.62990189,25.80187988,0.243214965,,,,FALSE,0.01,FALSE,6,20,,N,N
D2,288,D,UNKNOWN,FAM,NFQ-MGB,36.70094681,36.70094681,,,,,FALSE,0.01,FALSE,6,20,,N,N
D3,246,C,UNKNOWN,VIC,NFQ-MGB,32.58699036,32.69943619,0.159022421,,,,FALSE,0.01,FALSE,6,20,,N,Y
D3,246,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D4,246,C,UNKNOWN,VIC,NFQ-MGB,32.81188202,32.69943619,0.159022421,,,,FALSE,0.01,FALSE,6,20,,N,Y
D4,246,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D5,277,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D5,277,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D6,277,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D6,277,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D7,213,C,UNKNOWN,VIC,NFQ-MGB,24.44290733,24.79666138,0.500283778,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D7,213,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D8,213,C,UNKNOWN,VIC,NFQ-MGB,25.15041542,24.79666138,0.500283778,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D8,213,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D9,251,C,UNKNOWN,VIC,NFQ-MGB,26.69804192,26.67366791,0.034468703,,,,FALSE,0.01,FALSE,6,20,,N,Y
D9,251,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D10,251,C,UNKNOWN,VIC,NFQ-MGB,26.64929581,26.67366791,0.034468703,,,,FALSE,0.01,FALSE,6,20,,N,Y
