Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\urop20170913RUN.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,NOAMP,NOISE
A9,POS,C,UNKNOWN,VIC,NFQ-MGB,33.79705048,33.79705048,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A9,POS,D,UNKNOWN,FAM,NFQ-MGB,30.62445641,30.62445641,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A10,,,,,,,,,,,,,,,,,,N,N,N
A11,,,,,,,,,,,,,,,,,,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N
B1,,,,,,,,,,,,,,,,,,N,N,N
B2,852,C,UNKNOWN,VIC,NFQ-MGB,29.91641426,29.91641426,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
B2,852,D,UNKNOWN,FAM,NFQ-MGB,27.33078003,27.33078003,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
B3,860,C,UNKNOWN,VIC,NFQ-MGB,30.46249771,30.46249771,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
B3,860,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
B4,868,C,UNKNOWN,VIC,NFQ-MGB,29.42600822,29.42600822,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
B4,868,D,UNKNOWN,FAM,NFQ-MGB,31.2604351,31.2604351,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
B5,876,C,UNKNOWN,VIC,NFQ-MGB,32.30778885,32.30778885,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
B5,876,D,UNKNOWN,FAM,NFQ-MGB,26.98173332,26.98173332,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
B6,884,C,UNKNOWN,VIC,NFQ-MGB,27.981493,27.981493,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
B6,884,D,UNKNOWN,FAM,NFQ-MGB,29.99468613,29.99468613,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
B7,892,C,UNKNOWN,VIC,NFQ-MGB,28.21614075,28.21614075,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
B7,892,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
B8,900,C,UNKNOWN,VIC,NFQ-MGB,26.93168831,26.93168831,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
B8,900,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
B9,,,,,,,,,,,,,,,,,,N,N,N
B10,,,,,,,,,,,,,,,,,,N,N,N
B11,,,,,,,,,,,,,,,,,,N,N,N
B12,,,,,,,,,,,,,,,,,,N,N,N
C1,,,,,,,,,,,,,,,,,,N,N,N
C2,853,C,UNKNOWN,VIC,NFQ-MGB,27.62744331,27.62744331,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C2,853,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C3,861,C,UNKNOWN,VIC,NFQ-MGB,26.75531387,26.75531387,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
C3,861,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
C4,869,C,UNKNOWN,VIC,NFQ-MGB,26.80614662,26.80614662,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C4,869,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C5,877,C,UNKNOWN,VIC,NFQ-MGB,25.85371017,25.85371017,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C5,877,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C6,885,C,UNKNOWN,VIC,NFQ-MGB,27.11525917,27.11525917,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C6,885,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C7,893,C,UNKNOWN,VIC,NFQ-MGB,29.44857979,29.44857979,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C7,893,D,UNKNOWN,FAM,NFQ-MGB,29.25582886,29.25582886,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C8,901,C,UNKNOWN,VIC,NFQ-MGB,29.47893143,29.47893143,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C8,901,D,UNKNOWN,FAM,NFQ-MGB,34.29645538,34.29645538,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
C9,,,,,,,,,,,,,,,,,,N,N,N
C10,,,,,,,,,,,,,,,,,,N,N,N
C11,,,,,,,,,,,,,,,,,,N,N,N
C12,,,,,,,,,,,,,,,,,,N,N,N
D1,,,,,,,,,,,,,,,,,,N,N,N
D2,854,C,UNKNOWN,VIC,NFQ-MGB,35.12310028,35.12310028,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D2,854,D,UNKNOWN,FAM,NFQ-MGB,27.29115295,27.29115295,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D3,862,C,UNKNOWN,VIC,NFQ-MGB,33.27554321,33.27554321,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D3,862,D,UNKNOWN,FAM,NFQ-MGB,27.37255669,27.37255669,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D4,870,C,UNKNOWN,VIC,NFQ-MGB,26.6454258,26.6454258,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D4,870,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D5,878,C,UNKNOWN,VIC,NFQ-MGB,28.30874634,28.30874634,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D5,878,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D6,886,C,UNKNOWN,VIC,NFQ-MGB,34.19300461,34.19300461,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D6,886,D,UNKNOWN,FAM,NFQ-MGB,28.80879784,28.80879784,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D7,894,C,UNKNOWN,VIC,NFQ-MGB,25.96198845,25.96198845,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D7,894,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
D8,902,C,UNKNOWN,VIC,NFQ-MGB,26.96076012,26.96076012,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
D8,902,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
D9,,,,,,,,,,,,,,,,,,N,N,N
D10,,,,,,,,,,,,,,,,,,N,N,N
D11,,,,,,,,,,,,,,,,,,N,N,N
D12,,,,,,,,,,,,,,,,,,N,N,N
E1,,,,,,,,,,,,,,,,,,N,N,N
E2,855,C,UNKNOWN,VIC,NFQ-MGB,27.35566139,27.35566139,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E2,855,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E3,863,C,UNKNOWN,VIC,NFQ-MGB,25.94711113,25.94711113,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E3,863,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E4,871,C,UNKNOWN,VIC,NFQ-MGB,30.07695961,30.07695961,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E4,871,D,UNKNOWN,FAM,NFQ-MGB,29.52219009,29.52219009,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E5,879,C,UNKNOWN,VIC,NFQ-MGB,29.77370834,29.77370834,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
E5,879,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
