Sample.Name,File.Name,C.CT.mean,D.CT.mean,C.CT.sd,D.CT.sd,C.reps,D.reps,C.D,fail,propC,propD,Dom,Mix,time
187,UROP_Time1_1.csv,21.188312179999997,26.782566075,0.07982949888456484,0.284499993993025,2,2,4.391830198241918,FALSE,0.814534218765631,0.18546578123436896,C,CD,Time1
191,UROP_Time1_1.csv,23.607232695,34.582843780000005,0.08262400609701798,0.3217240960668781,2,2,183.06084898578013,FALSE,0.994567014085232,0.00543298591476804,C,CD,Time1
199,UROP_Time1_1.csv,23.311198835,NaN,0.05829077884224776,NA,2,0,Inf,FALSE,1,0,C,C,Time1
20,UROP_Time1_1.csv,27.683664925000002,29.105882645,0.08234212504976561,0.6153089272739076,2,2,0.24363378311156092,FALSE,0.19590476426427667,0.8040952357357234,D,DC,Time1
222,UROP_Time1_1.csv,25.371966965,NaN,0.15817813939263048,NA,2,0,Inf,FALSE,1,0,C,C,Time1
235,UROP_Time1_1.csv,22.089764244999998,NaN,0.1862701907326941,NA,2,0,Inf,FALSE,1,0,C,C,Time1
31,UROP_Time1_1.csv,28.503982195,26.632154465,0.020858978293559826,0.3056880527114828,2,2,0.024838823495547092,FALSE,0.02423680965834821,0.9757631903416518,D,DC,Time1
33,UROP_Time1_1.csv,27.72218669,25.55630493,0.5861662354651536,1.2078598914959013,2,2,0.020258717015203372,FALSE,0.019856450797569113,0.9801435492024309,D,DC,Time1
6,UROP_Time1_1.csv,27.161275515,24.63525009,0.5241692271399901,0.3492159693132048,2,2,0.015783302932426132,FALSE,0.015538061008545736,0.9844619389914543,D,DC,Time1
64,UROP_Time1_1.csv,30.54483569,27.880743025,0.12883853248745009,0.28999459552050577,2,2,0.014342851814289794,FALSE,0.014140043269034386,0.9858599567309656,D,DC,Time1
70,UROP_Time1_1.csv,27.425500515,25.407583235,0.24685780089266401,0.2557187539576096,2,2,0.022446761119829406,FALSE,0.021953965696213572,0.9780460343037864,D,DC,Time1
9,UROP_Time1_1.csv,27.634413369999997,25.51749039,0.055764661079663554,0.032452397021978725,2,2,0.020958007881916728,FALSE,0.020527786373306666,0.9794722136266933,D,DC,Time1
200,UROP_Time1_2.csv,22.90742362,NaN,0.02350647800620465,NA,2,0,Inf,FALSE,1,0,C,C,Time1
201,UROP_Time1_2.csv,21.96306289,NaN,0.038981453343928316,NA,2,0,Inf,FALSE,1,0,C,C,Time1
202,UROP_Time1_2.csv,24.100304254999998,NaN,0.26570317241864394,NA,2,0,Inf,FALSE,1,0,C,C,Time1
203,UROP_Time1_2.csv,23.36286319,21.33050156,5.59138839450182,NA,2,1,Inf,FALSE,1,0,C,C,Time1
204,UROP_Time1_2.csv,21.561125405,NaN,0.0452313226954637,NA,2,0,Inf,FALSE,1,0,C,C,Time1
205,UROP_Time1_2.csv,24.09061778,NaN,0.11064997830837874,NA,2,0,Inf,FALSE,1,0,C,C,Time1
206,UROP_Time1_2.csv,34.819846755,NaN,0.6634224101384226,NA,2,0,Inf,FALSE,1,0,C,C,Time1
207,UROP_Time1_2.csv,22.6898867,NaN,0.03749518560055263,NA,2,0,Inf,FALSE,1,0,C,C,Time1
208,UROP_Time1_2.csv,23.676784165,NaN,0.6279705085770549,NA,2,0,Inf,FALSE,1,0,C,C,Time1
210,UROP_Time1_2.csv,27.370366699999998,NaN,2.415015773338319,NA,2,0,Inf,FALSE,1,0,C,C,Time1
212,UROP_Time1_2.csv,36.277269015,NaN,0.6010720534836353,NA,2,0,Inf,FALSE,1,0,C,C,Time1
219,UROP_Time1_2.csv,33.228356965,37.973884580000004,1.2437811493254165,NA,2,1,Inf,FALSE,1,0,C,C,Time1
220,UROP_Time1_2.csv,25.287348395,NaN,0.48542514954250676,NA,2,0,Inf,FALSE,1,0,C,C,Time1
224,UROP_Time1_2.csv,26.113775855,NaN,0.18197863239845177,NA,2,0,Inf,FALSE,1,0,C,C,Time1
228,UROP_Time1_2.csv,36.28541721,NaN,1.2443044436988318,NA,2,0,Inf,FALSE,1,0,C,C,Time1
234,UROP_Time1_2.csv,28.638988145,NaN,0.3886897033271269,NA,2,0,Inf,FALSE,1,0,C,C,Time1
239,UROP_Time1_2.csv,24.500713955000002,NaN,0.09224427870787551,NA,2,0,Inf,FALSE,1,0,C,C,Time1
241,UROP_Time1_2.csv,29.256908064999998,NaN,0.1136063281209085,NA,2,0,Inf,FALSE,1,0,C,C,Time1
242,UROP_Time1_2.csv,28.47322143,NaN,0.060183003659772076,NA,2,0,Inf,FALSE,1,0,C,C,Time1
245,UROP_Time1_2.csv,26.14206756,NaN,0.011864502255120967,NA,2,0,Inf,FALSE,1,0,C,C,Time1
248,UROP_Time1_2.csv,25.380919105,NaN,0.1317503769991749,NA,2,0,Inf,FALSE,1,0,C,C,Time1
253,UROP_Time1_2.csv,24.91961349,NaN,0.38165623238281926,NA,2,0,Inf,FALSE,1,0,C,C,Time1
255,UROP_Time1_2.csv,24.700346595,NaN,0.3275086608721181,NA,2,0,Inf,FALSE,1,0,C,C,Time1
257,UROP_Time1_2.csv,23.308717375,NaN,0.09239398735558788,NA,2,0,Inf,FALSE,1,0,C,C,Time1
258,UROP_Time1_2.csv,26.941038735,NaN,0.026071698773790734,NA,2,0,Inf,FALSE,1,0,C,C,Time1
259,UROP_Time1_2.csv,25.59755958,NaN,0.2975351751640121,NA,2,0,Inf,FALSE,1,0,C,C,Time1
261,UROP_Time1_2.csv,28.759274135,NaN,0.7262434736353084,NA,2,0,Inf,FALSE,1,0,C,C,Time1
268,UROP_Time1_2.csv,22.864995604999997,NaN,0.14192360711291846,NA,2,0,Inf,FALSE,1,0,C,C,Time1
269,UROP_Time1_2.csv,25.046457895,NaN,0.006197274749150071,NA,2,0,Inf,FALSE,1,0,C,C,Time1
271,UROP_Time1_2.csv,23.45957816,NaN,0.23519829596447386,NA,2,0,Inf,FALSE,1,0,C,C,Time1
273,UROP_Time1_2.csv,22.62270702,NaN,0.0477951999601649,NA,2,0,Inf,FALSE,1,0,C,C,Time1
274,UROP_Time1_2.csv,22.753666525,NaN,0.02840765430970993,NA,2,0,Inf,FALSE,1,0,C,C,Time1
275,UROP_Time1_2.csv,24.19587291,NaN,1.1617937231792308,NA,2,0,Inf,FALSE,1,0,C,C,Time1
278,UROP_Time1_2.csv,22.077829010000002,NaN,0.14719163041450462,NA,2,0,Inf,FALSE,1,0,C,C,Time1
279,UROP_Time1_2.csv,20.53354514,NaN,0.029243843433801615,NA,2,0,Inf,FALSE,1,0,C,C,Time1
282,UROP_Time1_2.csv,26.663887625,NaN,0.6467187801998396,NA,2,0,Inf,FALSE,1,0,C,C,Time1
285,UROP_Time1_2.csv,21.72122348,NaN,0.14582404347328298,NA,2,0,Inf,FALSE,1,0,C,C,Time1
286,UROP_Time1_2.csv,23.36319602,NaN,0.023873325004285514,NA,2,0,Inf,FALSE,1,0,C,C,Time1
100,UROP_Time1_3.csv,28.46377719,NaN,0.26839383392920885,NA,2,0,Inf,FALSE,1,0,C,C,Time1
102,UROP_Time1_3.csv,23.91423381,NaN,0.17320804050907437,NA,2,0,Inf,FALSE,1,0,C,C,Time1
103,UROP_Time1_3.csv,25.27868045,NaN,0.06180278730557012,NA,2,0,Inf,FALSE,1,0,C,C,Time1
105,UROP_Time1_3.csv,22.53107608,35.3599472,0.09099133498908742,NA,2,1,Inf,FALSE,1,0,C,C,Time1
106,UROP_Time1_3.csv,22.355929975,NaN,0.21108760228481185,NA,2,0,Inf,FALSE,1,0,C,C,Time1
108,UROP_Time1_3.csv,22.479323035,34.173986435,0.35387033706580495,1.5654809633454243,2,2,301.33653314424714,FALSE,0.9966924275091728,0.0033075724908272486,C,CD,Time1
112,UROP_Time1_3.csv,26.04380286,29.03649807,0.21416937869818867,0.04322984988024806,2,2,0.7235996380187423,FALSE,0.41981886167631804,0.5801811383236819,D,DC,Time1
113,UROP_Time1_3.csv,24.224087365,NaN,0.032181313495274144,NA,2,0,Inf,FALSE,1,0,C,C,Time1
117,UROP_Time1_3.csv,23.540948514999997,NaN,0.153271567864383,NA,2,0,Inf,FALSE,1,0,C,C,Time1
119,UROP_Time1_3.csv,23.527875549999997,NaN,0.024665015898638138,NA,2,0,Inf,FALSE,1,0,C,C,Time1
120,UROP_Time1_3.csv,23.114728575,NaN,0.12734686951933472,NA,2,0,Inf,FALSE,1,0,C,C,Time1
121,UROP_Time1_3.csv,24.784430155,NaN,0.4939408365083353,NA,2,0,Inf,FALSE,1,0,C,C,Time1
123,UROP_Time1_3.csv,27.677577624999998,NaN,0.24400934850387482,NA,2,0,Inf,FALSE,1,0,C,C,Time1
126,UROP_Time1_3.csv,33.908145555,NaN,0.37743885662099197,NA,2,0,Inf,FALSE,1,0,C,C,Time1
127,UROP_Time1_3.csv,34.706622725,NaN,0.2606630849879691,NA,2,0,Inf,FALSE,1,0,C,C,Time1
128,UROP_Time1_3.csv,23.12979377,NaN,0.008325517668097618,NA,2,0,Inf,FALSE,1,0,C,C,Time1
130,UROP_Time1_3.csv,22.570217735,NaN,0.1754913802294056,NA,2,0,Inf,FALSE,1,0,C,C,Time1
132,UROP_Time1_3.csv,23.234412795,NaN,0.19005598387062508,NA,2,0,Inf,FALSE,1,0,C,C,Time1
136,UROP_Time1_3.csv,25.4628054,24.478280065,0.07744635104206843,0.08815232247582681,2,2,0.04594472511583086,FALSE,0.04392653264802574,0.9560734673519743,D,DC,Time1
137,UROP_Time1_3.csv,25.695314054999997,23.72519016,0.28718660378173505,0.09045860074014098,2,2,0.023202828353043412,FALSE,0.022676665574108013,0.977323334425892,D,DC,Time1
138,UROP_Time1_3.csv,21.014379149999996,NaN,0.01949680071921469,NA,2,0,Inf,FALSE,1,0,C,C,Time1
139,UROP_Time1_3.csv,22.92465175,NaN,0.443813732734106,NA,2,0,Inf,FALSE,1,0,C,C,Time1
140,UROP_Time1_3.csv,22.687862045,NaN,0.05646733430133286,NA,2,0,Inf,FALSE,1,0,C,C,Time1
144,UROP_Time1_3.csv,22.63116515,NaN,0.07493237430291437,NA,2,0,Inf,FALSE,1,0,C,C,Time1
148,UROP_Time1_3.csv,22.768097524999998,NaN,0.18822310652524746,NA,2,0,Inf,FALSE,1,0,C,C,Time1
