Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\mariah\MO_UROPapril3.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
D12,157,C,UNKNOWN,VIC,NFQ-MGB,24.33806229,24.18260956,0.219842002,,,,FALSE,0.01,FALSE,6,20,,N,N
D12,157,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
E1,150,C,UNKNOWN,VIC,NFQ-MGB,23.33990288,23.49182701,0.214853168,,,,FALSE,0.01,FALSE,6,20,,N,Y
E1,150,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.40019989,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E2,150,C,UNKNOWN,VIC,NFQ-MGB,23.64375114,23.49182701,0.214853168,,,,FALSE,0.01,FALSE,6,20,,N,N
E2,150,D,UNKNOWN,FAM,NFQ-MGB,34.40019989,34.40019989,,,,,FALSE,0.01,FALSE,6,20,,N,N
E3,6,C,UNKNOWN,VIC,NFQ-MGB,29.79991913,29.42927551,0.524169207,,,,FALSE,0.01,FALSE,6,20,,Y,N
E3,6,D,UNKNOWN,FAM,NFQ-MGB,24.88218307,24.63525009,0.349215984,,,,FALSE,0.01,FALSE,6,20,,Y,N
E4,6,C,UNKNOWN,VIC,NFQ-MGB,29.0586319,29.42927551,0.524169207,,,,FALSE,0.01,FALSE,6,20,,Y,N
E4,6,D,UNKNOWN,FAM,NFQ-MGB,24.38831711,24.63525009,0.349215984,,,,FALSE,0.01,FALSE,6,20,,Y,N
E5,134,C,UNKNOWN,VIC,NFQ-MGB,29.10702324,29.31487656,0.293947637,,,,FALSE,0.01,FALSE,6,20,,N,N
E5,134,D,UNKNOWN,FAM,NFQ-MGB,25.76765442,25.83610725,0.096806929,,,,FALSE,0.01,FALSE,6,20,,N,N
E6,134,C,UNKNOWN,VIC,NFQ-MGB,29.52272797,29.31487656,0.293947637,,,,FALSE,0.01,FALSE,6,20,,N,N
E6,134,D,UNKNOWN,FAM,NFQ-MGB,25.90456009,25.83610725,0.096806929,,,,FALSE,0.01,FALSE,6,20,,N,N
E7,199,C,UNKNOWN,VIC,NFQ-MGB,25.53798103,25.57919884,0.058290776,,,,FALSE,0.01,FALSE,6,20,,N,Y
E7,199,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E8,199,C,UNKNOWN,VIC,NFQ-MGB,25.62041664,25.57919884,0.058290776,,,,FALSE,0.01,FALSE,6,20,,N,Y
