frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mortality,mort.bin,dli
124,60,T2,NA,Natural,857,13,1,4.549941147,0,C,15,1,3.470265788
126,60,T2,NA,Natural,863,13,1,4.691458704,0,C,20,1,3.470265788
127,60,T2,NA,Low Shade,863,16,10,3.241552491,0,C,0,1,1.420391927
128,60,T2,NA,Medium Shade,863,17,15,4.218170273,0,C,0,1,0.673574649
129,60,T2,NA,High Shade,863,14,7,1.941298776,0,C,0,1,0.330656405
130,60,T2,NA,Natural,859,17,13,2.897810661,0,C,0,1,3.470265788
131,60,T2,NA,Low Shade,859,14,6,8.074549131,0,C,0,1,1.420391927
132,60,T2,NA,Medium Shade,859,13,4,4.57618295,0,C,20,1,0.673574649
133,60,T2,NA,High Shade,859,16,12,6.877466783,0,C,0,1,0.330656405
134,60,T2,NA,Natural,878,16,9,3.589363859,0.855912009,D,0,1,3.470265788
135,60,T2,NA,Low Shade,878,13,2,1.724937316,NA,D,80,4,1.420391927
136,60,T2,NA,Medium Shade,878,14,8,1.039401265,NA,D,55,3,0.673574649
137,60,T2,NA,High Shade,878,17,16,2.293109778,NA,D,100,4,0.330656405
138,60,T2,NA,Natural,877,14,5,4.258700282,0,C,0,1,3.470265788
139,60,T2,NA,Low Shade,877,17,14,3.538716731,0,C,0,1,1.420391927
140,60,T2,NA,Medium Shade,877,16,11,2.584344095,NA,C,0,1,0.673574649
141,60,T2,NA,High Shade,877,13,3,1.902864767,0,C,0,1,0.330656405
142,60,T2,NA,Low Shade,UNKNOWN1,17,14,3.589270952,0,C,0,1,1.420391927
144,60,T2,NA,Medium Shade,UNKNOWN2,17,15,1.472113825,NA,C,NA,,0.673574649
146,60,T2,NA,Medium Shade,861,16,11,5.5812126,0,C,0,1,0.673574649
147,60,T2,NA,Low Shade,861,17,14,3.352680367,0.019964267,C,0,1,1.420391927
148,60,T2,NA,Natural,861,14,5,2.428661219,NA,C,0,1,3.470265788
149,60,T2,NA,High Shade,861,13,3,3.563106034,NA,C,100,4,0.330656405
