frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,,mortality,dli
235,60,T2,NA,Low Light,855,16,11,2.968557434,0,C,,NA,0.755
10,60,T2,NA,Low Light,886,16,11,6.944199541,NA,D,,0,0.755
27,60,T2,NA,Low Light,854,13,4,3.652044916,0.974908133,D,,0,0.755
33,60,T2,NA,Low Light,876,13,4,3.595422939,0.978014928,D,,0,0.755
37,60,T2,NA,Low Light,896,17,15,2.622705946,0.986404492,D,,0,0.755
54,60,T2,NA,Low Light,916,16,11,2.990817245,0.980462412,D,,0,0.755
58,60,T2,NA,Low Light,909,16,11,2.185975567,NA,D,,0,0.755
79,60,T2,NA,Low Light,910,14,8,3.427599375,0.95733631,D,,0,0.755
81,60,T2,NA,Low Light,911,17,15,3.164630151,NA,D,,15,0.755
85,60,T2,NA,Low Light,922,13,4,5.724779548,0.966428359,D,,25,0.755
9,60,T2,NA,Low Light,862,14,8,2.584351691,0.951723757,D,,40,0.755
4,60,T2,NA,Low Light,852,17,15,2.115142716,NA,D,,55,0.755
136,60,T2,NA,Low Light,878,14,8,1.039401265,NA,D,,55,0.755
21,60,T2,NA,Low Light,864,17,15,4.784354823,NA,D,,95,0.755
15,60,T2,NA,Medium Light,867,17,14,5.479957472,NA,C,,0,1.55
44,60,T2,NA,Medium Light,893,14,6,1.528767445,0.379172763,C,,0,1.55
87,60,T2,NA,Medium Light,920,16,10,3.4983702,NA,C,,0,1.55
103,60,T2,NA,Medium Light,873,17,14,2.640895016,NA,C,,0,1.55
105,60,T2,NA,Medium Light,881,14,6,4.515523563,0,C,,0,1.55
114,60,T2,NA,Medium Light,875,14,6,1.413502756,0,C,,0,1.55
118,60,T2,NA,Medium Light,866,13,2,1.027277531,0,C,,0,1.55
127,60,T2,NA,Medium Light,863,16,10,3.241552491,0,C,,0,1.55
131,60,T2,NA,Medium Light,859,14,6,8.074549131,0,C,,0,1.55
139,60,T2,NA,Medium Light,877,17,14,3.538716731,0,C,,0,1.55
142,60,T2,NA,Medium Light,UNKNOWN1,17,14,3.589270952,0,C,,0,1.55
147,60,T2,NA,Medium Light,861,17,14,3.352680367,0.019964267,C,,0,1.55
153,60,T2,NA,Medium Light,899,16,10,4.202086979,0,C,,0,1.55
155,60,T2,NA,Medium Light,860,17,14,3.823836746,0,C,,0,1.55
160,60,T2,NA,Medium Light,890,14,6,3.542850292,0,C,,0,1.55
195,60,T2,NA,Medium Light,858,13,2,3.23754175,0,C,,0,1.55
199,60,T2,NA,Medium Light,905,16,10,2.076776947,0,C,,0,1.55
203,60,T2,NA,Medium Light,895,13,2,7.55696854,0,C,,0,1.55
220,60,T2,NA,Medium Light,888,16,10,4.869402608,NA,C,,0,1.55
223,60,T2,NA,Medium Light,903,14,6,4.012000844,0,C,,0,1.55
240,60,T2,NA,Medium Light,892,16,10,3.803718817,0,C,,0,1.55
243,60,T2,NA,Medium Light,885,17,14,2.818842272,0,C,,0,1.55
248,60,T2,NA,Medium Light,882,14,6,6.495236803,NA,C,,0,1.55
257,60,T2,NA,Medium Light,901,13,2,6.276916545,0,C,,0,1.55
261,60,T2,NA,Medium Light,887,14,6,8.371822934,0,C,,0,1.55
270,60,T2,NA,Medium Light,883,17,14,3.338526309,0,C,,0,1.55
278,60,T2,NA,Medium Light,900,14,6,1.874559088,0,C,,0,1.55
275,60,T2,NA,Medium Light,869,13,2,3.864430178,0,C,,5,1.55
236,60,T2,NA,Medium Light,855,13,2,5.552958555,0,C,,10,1.55
73,60,T2,NA,Medium Light,919,14,6,9.433454191,0,C,,25,1.55
208,60,T2,NA,Medium Light,856,14,6,13.18256562,NA,C,,80,1.55
13,60,T2,NA,Medium Light,886,14,6,4.151533016,0.97683167,D,,0,1.55
28,60,T2,NA,Medium Light,854,16,10,1.846247705,0.979741015,D,,0,1.55
36,60,T2,NA,Medium Light,896,16,10,3.969533005,0.976604902,D,,0,1.55
55,60,T2,NA,Medium Light,916,17,14,2.293088939,0.97755766,D,,0,1.55
69,60,T2,NA,Medium Light,910,13,2,4.774417216,0.976778606,D,,0,1.55
84,60,T2,NA,Medium Light,922,16,10,5.587128591,NA,D,,0,1.55
1,60,T2,NA,Medium Light,852,13,2,2.58234873,NA,D,,10,1.55
64,60,T2,NA,Medium Light,912,13,2,3.089923998,NA,D,,10,1.55
57,60,T2,NA,Medium Light,909,17,14,1.668252052,NA,D,,20,1.55
48,60,T2,NA,Medium Light,867B,17,14,4.351730497,NA,D,,40,1.55
82,60,T2,NA,Medium Light,911,14,6,5.654011706,0.978843314,D,,80,1.55
135,60,T2,NA,Medium Light,878,13,2,1.724937316,NA,D,,80,1.55
7,60,T2,NA,Medium Light,862,17,14,2.748111415,NA,D,,100,1.55
32,60,T2,NA,Medium Light,876,14,6,2.418526451,NA,D,,NA,1.55
