"","frag.id","days","time.point","notes","light.level","genotype","big.tank","tank","Dry.Weigh.g","propD","dom","mix","mortality","dli"
"135","218",60,"T2",NA,"High Shade","888","13","3",3.87043636490867,0,"C","C",0,0.330656405309048
"136","219",60,"T2",NA,"Medium Shade","888","17","15",4.85513679358741,NA,"C",NA,0,0.673574648996475
"137","220",60,"T2",NA,"Low Shade","888","16","10",4.86940260789935,NA,"C",NA,0,1.42039192733725
"138","221",60,"T2",NA,"Natural","888","14","5",4.45282746049354,NA,"C",NA,0,3.47026578762955
"139","222",60,"T2",NA,"Natural","903","17","13",6.98870219387552,0,"C","C",0,3.47026578762955
"140","223",60,"T2",NA,"Low Shade","903","14","6",4.01200084420277,0,"C","C",0,1.42039192733725
"141","224",60,"T2",NA,"Medium Shade","903","13","4",5.82588538733033,NA,"C",NA,0,0.673574648996475
"142","225",60,"T2",NA,"High Shade","903","16","12",2.48324833324365,NA,"C",NA,0,0.330656405309048
"143","229",60,"T2",NA,"High Shade","902","14","7",3.54086121594573,0,"C","C",0,0.330656405309048
"144","230",60,"T2",NA,"Natural","891","13","1",2.63290130650802,0,"C","C",0,3.47026578762955
"145","232",60,"T2",NA,"High Shade","891","14","7",5.120179221534,0,"C","C",0,0.330656405309048
"146","233",60,"T2",NA,"Medium Shade","891","17","15",4.22827125718085,0,"C","C",0,0.673574648996475
"147","234",60,"T2",NA,"High Shade","855","17","16",12.9622364965215,0,"C","C",15,0.330656405309048
"148","235",60,"T2",NA,"Medium Shade","855","16","11",2.96855743387445,0,"C","C",NA,0.673574648996475
"149","236",60,"T2",NA,"Low Shade","855","13","2",5.55295855476146,0,"C","C",10,1.42039192733725
"150","237",60,"T2",NA,"Natural","855","14","5",10.8550148390104,0,"C","C",0,3.47026578762955
"151","238",60,"T2",NA,"Natural","892","13","1",6.25262842626227,0,"C","C",0,3.47026578762955
"152","240",60,"T2",NA,"Low Shade","892","16","10",3.80371881732354,0,"C","C",0,1.42039192733725
"153","241",60,"T2",NA,"Medium Shade","892","14","8",5.14240519779699,0,"C","C",0,0.673574648996475
"154","242",60,"T2",NA,"Natural","885","14","5",2.53984772354384,0,"C","C",5,3.47026578762955
"155","243",60,"T2",NA,"Low Shade","885","17","14",2.81884227236597,0,"C","C",0,1.42039192733725
"156","244",60,"T2",NA,"Medium Shade","885","16","11",3.79563055832239,0,"C","C",0,0.673574648996475
"157","245",60,"T2",NA,"High Shade","885","13","3",5.33651151706903,0,"C","C",0,0.330656405309048
"158","247",60,"T2",NA,"Natural","882","17","13",4.29110418516489,0,"C","C",0,3.47026578762955
"159","248",60,"T2",NA,"Low Shade","882","14","6",6.4952368026403,NA,"C",NA,0,1.42039192733725
"160","249",60,"T2",NA,"Medium Shade","882","13","4",2.65106819208964,0,"C","C",10,0.673574648996475
"161","251",60,"T2",NA,"Natural","865","13","1",4.58431660253433,0,"C","C",0,3.47026578762955
"162","253",60,"T2",NA,"Medium Shade","865","16","11",3.12022146710998,NA,"C",NA,0,0.673574648996475
"163","254",60,"T2",NA,"High Shade","865","14","7",4.20615717647942,NA,"C",NA,100,0.330656405309048
"164","256",60,"T2",NA,"Natural","901","16","9",3.68642807947956,0,"C","C",0,3.47026578762955
"165","257",60,"T2",NA,"Low Shade","901","13","2",6.27691654497771,0,"C","C",0,1.42039192733725
"166","258",60,"T2",NA,"Medium Shade","901","14","8",5.37496114365881,0,"C","C",0,0.673574648996475
"167","259",60,"T2",NA,"High Shade","901","17","16",5.90870085624295,0,"C","C",0,0.330656405309048
"168","260",60,"T2",NA,"Natural","887","17","13",4.16167338682382,0,"C","C",0,3.47026578762955
"169","261",60,"T2",NA,"Low Shade","887","14","6",8.37182293407703,0,"C","C",0,1.42039192733725
"170","262",60,"T2",NA,"Medium Shade","887","13","4",3.24761268916731,NA,"C",NA,0,0.673574648996475
"171","263",60,"T2",NA,"High Shade","887","16","12",2.56211395880021,0,"C","C",0,0.330656405309048
"172","265",60,"T2",NA,"High Shade","894","17","16",1.57322744550082,NA,"C",NA,90,0.330656405309048
"173","268",60,"T2",NA,"High Shade","883","13","3",4.11714734654914,NA,"C",NA,0,0.330656405309048
"174","269",60,"T2",NA,"Natural","883","16","9",3.86033406442077,0,"C","C",0,3.47026578762955
"175","270",60,"T2",NA,"Low Shade","883","17","14",3.33852630891633,0,"C","C",0,1.42039192733725
"176","271",60,"T2",NA,"Medium Shade","883","14","8",5.52864848053047,0,"C","C",0,0.673574648996475
"177","272",60,"T2",NA,"Medium Shade","869","14","8",3.84012201886308,0,"C","C",30,0.673574648996475
"178","273",60,"T2",NA,"High Shade","869","17","16",6.19990254945802,NA,"C",NA,20,0.330656405309048
"179","274",60,"T2",NA,"Natural","869","16","9",8.52549522068687,0,"C","C",0,3.47026578762955
"180","275",60,"T2",NA,"Low Shade","869","13","2",3.86443017834869,0,"C","C",5,1.42039192733725
"181","277",60,"T2",NA,"Medium Shade","900","16","11",1.26386167070752,0,"C","C",5,0.673574648996475
"182","278",60,"T2",NA,"Low Shade","900","14","6",1.874559088012,0,"C","C",0,1.42039192733725
"183","279",60,"T2",NA,"Natural","900","17","13",3.55096919057656,NA,"C",NA,0,3.47026578762955
"184","280",60,"T2",NA,"Natural","853","13","1",4.94790016996151,0,"C","C",0,3.47026578762955
"185","283",60,"T2",NA,"High Shade","858","16","12",1.8543474484739,0,"C","C",0,0.330656405309048
"186","288",60,"T2",NA,"Medium Shade","853","17","15",6.17760890103011,0,"C","C",0,0.673574648996475
