growth.rate,dom,light.level,time.point,genotype,frag.id,tank,.fitted,.resid,.hat,.cooksd,.fixed,.mu,.offset,.sqrtXwt,.sqrtrwt,.weights,.wtres,big.tank,dli
0.316541664,D,High Shade,T1,878,136,8,0.083192415,0.233349249,0.093580385,0.000117036,0.113890717,0.083192415,0,1,1,1,0.233349249,14,0.502115527
-0.100584396,D,High Shade,T2,878,136,8,0.004420345,-0.105004741,0.108655488,2.85E-05,0.035118648,0.004420345,0,1,1,1,-0.105004741,14,0.502115527
0.229727672,C,High Shade,T1,877,140,11,0.126803765,0.102923907,0.059082303,1.33E-05,0.194436565,0.126803765,0,1,1,1,0.102923907,16,0.502115527
-0.021244656,C,High Shade,T2,877,140,11,0.02968268,-0.050927336,0.059082303,3.27E-06,0.09731548,0.02968268,0,1,1,1,-0.050927336,16,0.502115527
0.181181027,C,High Shade,T1,UNKNOWN2,144,15,0.22070911,-0.039528083,0.061516572,2.06E-06,0.194436565,0.22070911,0,1,1,1,-0.039528083,17,0.502115527
0.319476995,C,High Shade,T2,UNKNOWN2,144,15,0.123588025,0.19588897,0.061516572,5.06E-05,0.09731548,0.123588025,0,1,1,1,0.19588897,17,0.502115527
0.297801099,C,High Shade,T1,861,146,11,0.380970267,-0.083169168,0.059082303,8.71E-06,0.194436565,0.380970267,0,1,1,1,-0.083169168,16,0.502115527
0.1294981,C,High Shade,T2,861,146,11,0.283849182,-0.154351081,0.059082303,3.00E-05,0.09731548,0.283849182,0,1,1,1,-0.154351081,16,0.502115527
0.329411333,C,High Shade,T1,899,150,8,0.226607052,0.102804281,0.061374632,1.39E-05,0.194436565,0.226607052,0,1,1,1,0.102804281,14,0.502115527
-0.094974095,C,High Shade,T2,899,150,8,0.129485967,-0.224460062,0.061374632,6.62E-05,0.09731548,0.129485967,0,1,1,1,-0.224460062,14,0.502115527
0.089763327,C,High Shade,T1,860,154,8,0.356730126,-0.266966799,0.061050849,9.31E-05,0.194436565,0.356730126,0,1,1,1,-0.266966799,14,0.502115527
0.185494683,C,High Shade,T2,860,154,8,0.259609041,-0.074114358,0.061050849,7.18E-06,0.09731548,0.259609041,0,1,1,1,-0.074114358,14,0.502115527
0.54231542,C,High Shade,T1,890,159,4,0.212810798,0.329504621,0.059381193,0.000137507,0.194436565,0.212810798,0,1,1,1,0.329504621,13,0.502115527
0.065236236,C,High Shade,T2,890,159,4,0.115689713,-0.050453478,0.059381193,3.22E-06,0.09731548,0.115689713,0,1,1,1,-0.050453478,13,0.502115527
0.255818041,C,High Shade,T1,872,192,15,0.21273682,0.04308122,0.061171212,2.43E-06,0.194436565,0.21273682,0,1,1,1,0.04308122,17,0.502115527
0.132470577,C,High Shade,T2,872,192,15,0.115615735,0.016854841,0.061171212,3.72E-07,0.09731548,0.115615735,0,1,1,1,0.016854841,17,0.502115527
0.108341409,C,High Shade,T1,858,196,11,0.151599557,-0.043258148,0.059582591,2.38E-06,0.194436565,0.151599557,0,1,1,1,-0.043258148,16,0.502115527
-0.153842895,C,High Shade,T2,858,196,11,0.054478471,-0.208321367,0.059582591,5.52E-05,0.09731548,0.054478471,0,1,1,1,-0.208321367,16,0.502115527
0.030574357,C,High Shade,T1,905,200,15,0.177928279,-0.147353923,0.060515518,2.81E-05,0.194436565,0.177928279,0,1,1,1,-0.147353923,17,0.502115527
0.102074073,C,High Shade,T2,905,200,15,0.080807194,0.021266879,0.060515518,5.85E-07,0.09731548,0.080807194,0,1,1,1,0.021266879,17,0.502115527
0.102463101,C,High Shade,T1,895,204,8,0.304058933,-0.201595832,0.061047845,5.31E-05,0.194436565,0.304058933,0,1,1,1,-0.201595832,14,0.502115527
0.056474173,C,High Shade,T2,895,204,8,0.206937847,-0.150463674,0.061047845,2.96E-05,0.09731548,0.206937847,0,1,1,1,-0.150463674,14,0.502115527
0.137840336,C,High Shade,T1,879,212,4,0.17684369,-0.039003354,0.059717575,1.94E-06,0.194436565,0.17684369,0,1,1,1,-0.039003354,13,0.502115527
0.174462548,C,High Shade,T2,879,212,4,0.079722605,0.094739943,0.059717575,1.14E-05,0.09731548,0.079722605,0,1,1,1,0.094739943,13,0.502115527
0.372056512,C,High Shade,T1,888,219,15,0.151436764,0.220619748,0.060532924,6.30E-05,0.194436565,0.151436764,0,1,1,1,0.220619748,17,0.502115527
