frag.id,mass.g,temp.c,date,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mix,mortality
82,2.796,25.595,Jan-8-2018,60,T2,NA,Low Shade,911,14,6,5.654011706302923,0.9788433143108212,D,DC,80
82,2.78,23.746,Nov-29-2017,31,T1,70% dead,Low Shade,911,14,6,5.621907172834171,NA,D,NA,80
82,2.787,24.872,Oct-29-2017,0,T0,NA,Low Shade,911,14,6,5.635910254502153,NA,D,NA,5
83,2.528,25.192,Jan-8-2018,60,T2,NA,Natural,911,13,1,5.11211744075368,1,D,D,0
83,2.312,24.599,Nov-29-2017,31,T1,,Natural,911,13,1,4.675389371296994,NA,D,NA,0
83,2.244,24.629,Oct-29-2017,0,T0,NA,Natural,911,13,1,4.537874640841799,NA,D,NA,0
84,2.763,26.718,Jan-8-2018,60,T2,NA,Low Shade,922,16,10,5.587128590806915,NA,D,NA,0
84,2.729,24.405,Oct-29-2017,0,T0,NA,Low Shade,922,16,10,5.518683909645936,NA,D,NA,0
84,2.741,24.544,Nov-29-2017,31,T1,,Low Shade,922,16,10,5.542932197183295,NA,D,NA,0
85,2.831,25.656,Jan-8-2018,60,T2,NA,Medium Shade,922,13,4,5.724779547652599,0.9664283591643557,D,DC,25
85,2.823,24.349,Oct-29-2017,0,T0,NA,Medium Shade,922,13,4,5.708781855600595,NA,D,NA,0
85,2.831,24.258,Nov-29-2017,31,T1,,Medium Shade,922,13,4,5.7249723146292295,NA,D,NA,5
86,3.887,24.775,Nov-29-2017,31,T1,,High Shade,922,14,7,7.860363952958554,NA,D,NA,NA
86,3.886,24.369,Oct-29-2017,0,T0,NA,High Shade,922,14,7,7.858418564527319,NA,D,NA,0
86,3.877,25.369,Jan-8-2018,60,T2,NA,High Shade,922,14,7,7.84002959225268,NA,D,NA,100
87,1.709,23.687,Nov-29-2017,31,T1,,Low Shade,920,16,10,3.4560622312700757,NA,C,NA,0
87,1.73,25.583,Jan-8-2018,60,T2,NA,Low Shade,920,16,10,3.4983702002651724,NA,C,NA,0
87,1.697,24.561,Oct-29-2017,0,T0,NA,Low Shade,920,16,10,3.4317227610092953,NA,C,NA,0
88,2.162,24.581,Oct-29-2017,0,T0,NA,Medium Shade,920,17,15,4.372057180903088,NA,C,NA,0
88,2.191,26.686,Jan-8-2018,60,T2,NA,Medium Shade,920,17,15,4.4304770850274755,NA,C,NA,0
88,2.168,24.316,Nov-29-2017,31,T1,,Medium Shade,920,17,15,4.384218525355705,NA,C,NA,0
89,1.097,24.798,Nov-29-2017,31,T1,,High Shade,920,14,7,2.2183726472918384,NA,C,NA,NA
89,1.099,24.525,Oct-29-2017,0,T0,NA,High Shade,920,14,7,2.222431693478398,NA,C,NA,0
89,1.098,25.302,Jan-8-2018,60,T2,NA,High Shade,920,14,7,2.2203679098995988,0,C,C,0
97,2.235,25.899,Oct-29-2017,0,T0,NA,High Shade,894B,14,7,4.519536337435096,0,C,C,NA
97,2.256,24.78,Nov-29-2017,31,T1,90% dead,High Shade,894B,14,7,4.562124760101784,NA,C,NA,NA
97,2.275,25.399,Jan-8-2018,60,T2,NA,High Shade,894B,14,7,4.600478316149387,NA,C,NA,NA
101,2.267,25.717,Jan-8-2018,60,T2,NA,High Shade,873,13,3,4.5842656868986715,NA,C,NA,0
101,2.266,24.452,Oct-29-2017,0,T0,NA,High Shade,873,13,3,4.582383139146738,NA,C,NA,0
101,2.265,24.144,Nov-29-2017,31,T1,,High Shade,873,13,3,4.580394872261914,NA,C,NA,0
102,1.835,25.828,Oct-29-2017,0,T0,NA,Natural,873,16,9,3.7106771222260533,0,C,C,0
102,1.884,23.785,Nov-29-2017,31,T1,,Natural,873,16,9,3.8099507807662545,NA,C,NA,0
102,1.988,25.62,Jan-8-2018,60,T2,NA,Natural,873,16,9,4.020088877564682,0,C,C,0
103,1.294,24.24,Oct-29-2017,0,T0,NA,Low Shade,873,17,14,2.61678466467382,0,C,C,0
103,1.296,24.382,Nov-29-2017,31,T1,,Low Shade,873,17,14,2.6208201934302866,NA,C,NA,0
103,1.306,26.701,Jan-8-2018,60,T2,NA,Low Shade,873,17,14,2.6408950162938907,NA,C,NA,0
104,2.02,25.534,Jan-8-2018,60,T2,NA,Medium Shade,873,14,8,4.084807021534983,0,C,C,0
104,2.013,26.03,Oct-29-2017,0,T0,NA,Medium Shade,873,14,8,4.070603099176448,0,C,C,0
104,2.02,23.524,Nov-29-2017,31,T1,,Medium Shade,873,14,8,4.085004737433904,NA,C,NA,NA
105,2.214,23.726,Nov-29-2017,31,T1,,Low Shade,881,14,6,4.477305206017483,NA,C,NA,0
105,2.233,25.609,Jan-8-2018,60,T2,NA,Low Shade,881,14,6,4.515523562758104,0,C,C,0
105,2.207,26.372,Oct-29-2017,0,T0,NA,Low Shade,881,14,6,4.462864873386173,0,C,C,0
106,0.863,26.392,Oct-29-2017,0,T0,NA,Medium Shade,881,16,11,1.7451067191067735,0,C,C,5
106,0.867,25.384,Jan-8-2018,60,T2,NA,Medium Shade,881,16,11,1.7532378643753566,NA,C,NA,0
106,0.862,23.591,Nov-29-2017,31,T1,,Medium Shade,881,16,11,1.743202180864131,NA,C,NA,0
107,1.461,24.595,Nov-29-2017,31,T1,,Natural,881,13,1,2.954474277437645,NA,C,NA,0
107,1.425,25.808,Oct-29-2017,0,T0,NA,Natural,881,13,1,2.8815898896303884,0,C,C,0
107,1.608,25.223,Jan-8-2018,60,T2,NA,Natural,881,13,1,3.251692526190088,0,C,C,0
108,0.677,26.304,Jan-8-2018,60,T2,NA,High Shade,881,17,16,1.3689916045682715,NA,C,NA,45
108,0.669,24.068,Nov-29-2017,31,T1,,High Shade,881,17,16,1.3528873184546055,NA,C,NA,5
108,0.683,25.869,Oct-29-2017,0,T0,NA,High Shade,881,17,16,1.3811389485460202,0.00330757249082724,C,CD,0
