Site Name ,TANK10
Site Number ,10
Logger ,Integrating Light Sensor
Logger Serial Number ,7278


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

253,07/12/2017 , 05:15:00,0,0
254,07/12/2017 , 05:30:00,0,0
255,07/12/2017 , 05:45:00,0,0
256,07/12/2017 , 06:00:00,0,0
257,07/12/2017 , 06:15:00,0,0
258,07/12/2017 , 06:30:00,0,0
259,07/12/2017 , 06:45:00,1,1
260,07/12/2017 , 07:00:00,19,19
261,07/12/2017 , 07:15:00,71,71
262,07/12/2017 , 07:30:00,134,134
263,07/12/2017 , 07:45:00,189,189
264,07/12/2017 , 08:00:00,230,230
265,07/12/2017 , 08:15:00,300,300
266,07/12/2017 , 08:30:00,584,584
267,07/12/2017 , 08:45:00,1296,1296
268,07/12/2017 , 09:00:00,1481,1481
269,07/12/2017 , 09:15:00,1450,1450
270,07/12/2017 , 09:30:00,1603,1603
271,07/12/2017 , 09:45:00,1824,1824
272,07/12/2017 , 10:00:00,2084,2084
273,07/12/2017 , 10:15:00,3641,3641
274,07/12/2017 , 10:30:00,5950,5950
275,07/12/2017 , 10:45:00,5004,5004
276,07/12/2017 , 11:00:00,5114,5114
277,07/12/2017 , 11:15:00,3025,3025
278,07/12/2017 , 11:30:00,3264,3264
279,07/12/2017 , 11:45:00,3952,3952
280,07/12/2017 , 12:00:00,4696,4696
281,07/12/2017 , 12:15:00,5420,5420
282,07/12/2017 , 12:30:00,5195,5195
283,07/12/2017 , 12:45:00,5222,5222
284,07/12/2017 , 13:00:00,5418,5418
285,07/12/2017 , 13:15:00,5149,5149
286,07/12/2017 , 13:30:00,4951,4951
287,07/12/2017 , 13:45:00,2902,2902
288,07/12/2017 , 14:00:00,1987,1987
289,07/12/2017 , 14:15:00,1813,1813
290,07/12/2017 , 14:30:00,1833,1833
291,07/12/2017 , 14:45:00,1424,1424
292,07/12/2017 , 15:00:00,912,912
293,07/12/2017 , 15:15:00,740,740
294,07/12/2017 , 15:30:00,972,972
295,07/12/2017 , 15:45:00,768,768
296,07/12/2017 , 16:00:00,579,579
297,07/12/2017 , 16:15:00,653,653
298,07/12/2017 , 16:30:00,486,486
299,07/12/2017 , 16:45:00,327,327
300,07/12/2017 , 17:00:00,253,253
301,07/12/2017 , 17:15:00,245,245
302,07/12/2017 , 17:30:00,123,123
303,07/12/2017 , 17:45:00,66,66
304,07/12/2017 , 18:00:00,16,16
305,07/12/2017 , 18:15:00,0,0
306,07/12/2017 , 18:30:00,0,0
307,07/12/2017 , 18:45:00,0,0
308,07/12/2017 , 19:00:00,0,0
309,07/12/2017 , 19:15:00,0,0
310,07/12/2017 , 19:30:00,0,0
311,07/12/2017 , 19:45:00,0,0
312,07/12/2017 , 20:00:00,0,0
313,07/12/2017 , 20:15:00,0,0
314,07/12/2017 , 20:30:00,0,0
315,07/12/2017 , 20:45:00,0,0
